"Coefficient","mean","sd","median","95% CI","species"
"beta.evergreen_forest",-10,8.2,-10,"-27 - 5.4","American Coot"
"beta.evergreen_forest_sq",-4.8,6.9,-4.7,"-19 - 8.6","American Coot"
"beta.grassland_herbaceous",8.5,6.2,8.6,"-3.8 - 20","American Coot"
"beta.grassland_herbaceous_sq",-5.5,6.4,-5.4,"-18 - 6.8","American Coot"
"beta.lakes",27,3.3,27,"21 - 34","American Coot"
"beta.lakes_sq",-2.7,3.5,-2.8,"-9.3 - 4.5","American Coot"
"beta.max_temperature",3.5,6.5,3.5,"-9.1 - 16","American Coot"
"beta.max_temperature_sq",2.1,5.7,2.2,"-9.2 - 13","American Coot"
"beta.mixed_forest",-7.9,8.3,-7.7,"-24 - 7.9","American Coot"
"beta.mixed_forest_sq",-0.27,7.3,-0.0079,"-15 - 13","American Coot"
"beta.number_observers",-0.23,0.15,-0.22,"-0.56 - 0.018","American Coot"
"beta.ocean",-11,7.9,-11,"-27 - 3.7","American Coot"
"beta.ocean_sq",2.3,7.3,2.7,"-13 - 16","American Coot"
"beta.pasture_hay",5,9.5,6.3,"-18 - 20","American Coot"
"beta.pasture_hay_sq",-2,8,-1.9,"-18 - 14","American Coot"
"beta.precipitation",-14,7.8,-14,"-30 - 0.96","American Coot"
"beta.precipitation_sq",4.2,7.1,4.3,"-9.9 - 18","American Coot"
"beta.rivers",-1.5,6.7,-1.2,"-15 - 11","American Coot"
"beta.rivers_sq",-1.2,6.6,-0.71,"-15 - 10","American Coot"
"beta.shrub_scrub",13,7.3,13,"-1.8 - 27","American Coot"
"beta.shrub_scrub_sq",-4.8,5.9,-4.7,"-17 - 6.5","American Coot"
"beta.slope",-7.9,9.7,-8.1,"-26 - 11","American Coot"
"beta.slope_sq",-11,7.7,-11,"-26 - 4.8","American Coot"
"beta.time_of_day",0.43,0.095,0.43,"0.25 - 0.62","American Coot"
"beta.woody_wetland",-15,8.3,-16,"-31 - 1.5","American Coot"
"beta.woody_wetland_sq",4.3,7.1,4.6,"-10 - 17","American Coot"
"beta.0",-1.2,0.023,-1.2,"-1.2 - -1.2","American Crow"
"beta.aspect",0.83,5.2,1,"-9.6 - 10","American Crow"
"beta.aspect_sq",-1.6,3.9,-1.7,"-8.9 - 6.1","American Crow"
"beta.barren_land",-11,4.2,-11,"-20 - -3.4","American Crow"
"beta.barren_land_sq",6,4,6.4,"-3.1 - 13","American Crow"
"beta.cultivated_crop",4.5,7,6.3,"-8.6 - 15","American Crow"
"beta.cultivated_crop_sq",-10,3.2,-10,"-17 - -4.5","American Crow"
"beta.deciduous_forest",11,5.6,9.9,"1.5 - 24","American Crow"
"beta.deciduous_forest_sq",-16,2.9,-16,"-22 - -11","American Crow"
"beta.developed_high_intensity",-6.4,5.6,-6.6,"-16 - 4.5","American Crow"
"beta.developed_high_intensity_sq",6.6,3.4,6.6,"-0.12 - 13","American Crow"
"beta.developed_low_intensity",-7.6,10,-11,"-22 - 13","American Crow"
"beta.developed_low_intensity_sq",2.6,4.1,3.1,"-6.7 - 9.5","American Crow"
"beta.effort_hours",0.23,0.019,0.23,"0.19 - 0.27","American Crow"
"beta.elevation",-27,4.6,-27,"-36 - -18","American Crow"
"beta.elevation_sq",23,3.3,23,"17 - 30","American Crow"
"beta.emergent_wetland",-0.66,4.6,-0.15,"-12 - 7.1","American Crow"
"beta.emergent_wetland_sq",-16,5.2,-16,"-27 - -6.2","American Crow"
"beta.evergreen_forest",-12,4.9,-12,"-21 - -2.2","American Crow"
"beta.evergreen_forest_sq",-25,3.5,-25,"-32 - -18","American Crow"
"beta.grassland_herbaceous",-11,4.6,-11,"-20 - -1.8","American Crow"
"beta.grassland_herbaceous_sq",-3.9,3.7,-3.8,"-11 - 3.1","American Crow"
"beta.lakes",7.4,3.5,7.6,"-0.064 - 14","American Crow"
"beta.lakes_sq",3.2,2.7,3.3,"-2.5 - 8.4","American Crow"
"beta.max_temperature",-2.3,4,-2.3,"-10 - 5.5","American Crow"
"beta.max_temperature_sq",-22,3.6,-22,"-29 - -15","American Crow"
"beta.mixed_forest",6.1,3.7,6.2,"-1.4 - 13","American Crow"
"beta.mixed_forest_sq",-14,2.9,-14,"-20 - -8.7","American Crow"
"beta.number_observers",-0.059,0.027,-0.059,"-0.11 - -0.0078","American Crow"
"beta.ocean",0.81,3.4,0.87,"-6 - 7.4","American Crow"
"beta.ocean_sq",-13,3.2,-13,"-20 - -7.4","American Crow"
"beta.pasture_hay",12,4.6,12,"3.9 - 22","American Crow"
"beta.pasture_hay_sq",-12,3.1,-12,"-18 - -6.1","American Crow"
"beta.precipitation",-6,4.9,-5.8,"-16 - 3.1","American Crow"
"beta.precipitation_sq",4.8,3.4,4.8,"-1.9 - 11","American Crow"
"beta.rivers",0.97,2.5,1,"-4 - 5.7","American Crow"
"beta.rivers_sq",6.8,2.6,6.8,"1.6 - 12","American Crow"
"beta.shrub_scrub",-30,5.1,-30,"-40 - -20","American Crow"
"beta.shrub_scrub_sq",-2.2,4,-2.2,"-10 - 5.5","American Crow"
"beta.slope",28,4.5,28,"19 - 37","American Crow"
"beta.slope_sq",-5.9,3.4,-5.8,"-13 - 0.98","American Crow"
"beta.time_of_day",-0.2,0.02,-0.2,"-0.24 - -0.16","American Crow"
"beta.woody_wetland",-1.5,5,-1.8,"-10 - 8.9","American Crow"
"beta.woody_wetland_sq",-2.6,3.6,-2.7,"-9.5 - 4.9","American Crow"
"beta.0",-5.4,0.29,-5.4,"-6 - -4.9","American Dipper"
"beta.aspect",2.7,8.5,2.6,"-14 - 20","American Dipper"
"beta.aspect_sq",-5.8,8.1,-5.7,"-22 - 9.4","American Dipper"
"beta.barren_land",-2.7,8.7,-2.6,"-20 - 14","American Dipper"
"beta.barren_land_sq",0.1,6.6,0.46,"-14 - 12","American Dipper"
"beta.cultivated_crop",-6,8.7,-5.9,"-23 - 11","American Dipper"
"beta.cultivated_crop_sq",1.4,8.2,1.6,"-15 - 17","American Dipper"
"beta.deciduous_forest",9.2,6.8,9.4,"-4.8 - 22","American Dipper"
"beta.deciduous_forest_sq",2,8.3,2.9,"-17 - 16","American Dipper"
"beta.developed_high_intensity",-5.8,9,-5.8,"-24 - 11","American Dipper"
"beta.developed_high_intensity_sq",0.77,8.2,1.1,"-16 - 16","American Dipper"
"beta.developed_low_intensity",-7.6,9,-7.5,"-25 - 9.7","American Dipper"
"beta.developed_low_intensity_sq",3.2,8.6,3.4,"-14 - 20","American Dipper"
"beta.effort_hours",0.25,0.15,0.26,"-0.069 - 0.54","American Dipper"
"beta.elevation",1.4,8.5,1.4,"-15 - 18","American Dipper"
"beta.elevation_sq",-4.8,7.8,-4.7,"-20 - 10","American Dipper"
"beta.emergent_wetland",-0.8,8.5,-0.54,"-18 - 15","American Dipper"
"beta.emergent_wetland_sq",-1.5,7.8,-1.1,"-17 - 13","American Dipper"
"beta.evergreen_forest",8.3,8.2,8.3,"-7.7 - 25","American Dipper"
"beta.evergreen_forest_sq",-0.85,8.4,-0.49,"-18 - 15","American Dipper"
"beta.grassland_herbaceous",-6.1,8.3,-5.9,"-23 - 9.8","American Dipper"
"beta.grassland_herbaceous_sq",-3,8.2,-2.7,"-20 - 12","American Dipper"
"beta.lakes",-3.3,8.5,-3.1,"-20 - 13","American Dipper"
"beta.lakes_sq",-1.4,8,-1.2,"-18 - 13","American Dipper"
"beta.max_temperature",-12,8.3,-12,"-28 - 4.5","American Dipper"
"beta.max_temperature_sq",-0.18,8.3,0.034,"-17 - 15","American Dipper"
"beta.mixed_forest",1.3,7.9,1.4,"-14 - 17","American Dipper"
"beta.mixed_forest_sq",7.8,6.2,7.9,"-5.1 - 19","American Dipper"
"beta.number_observers",0.14,0.2,0.17,"-0.32 - 0.47","American Dipper"
"beta.ocean",-3.8,8.8,-3.6,"-22 - 13","American Dipper"
"beta.ocean_sq",-1.6,8.1,-1.3,"-18 - 13","American Dipper"
"beta.pasture_hay",-6.6,8.9,-6.5,"-24 - 10","American Dipper"
"beta.pasture_hay_sq",3.9,8.1,4.1,"-13 - 19","American Dipper"
"beta.precipitation",1.4,7.7,1.4,"-14 - 16","American Dipper"
"beta.precipitation_sq",0.6,7.2,0.67,"-14 - 14","American Dipper"
"beta.rivers",-3.2,8.6,-3,"-20 - 13","American Dipper"
"beta.rivers_sq",0.21,8.1,0.29,"-16 - 16","American Dipper"
"beta.shrub_scrub",1.5,8.6,1.7,"-16 - 18","American Dipper"
"beta.shrub_scrub_sq",-5.1,8.3,-5,"-22 - 11","American Dipper"
"beta.slope",14,8.1,14,"-2.3 - 30","American Dipper"
"beta.slope_sq",-0.86,6.7,-0.67,"-15 - 12","American Dipper"
"beta.time_of_day",0.12,0.22,0.12,"-0.3 - 0.56","American Dipper"
"beta.woody_wetland",-2.3,8.1,-2,"-19 - 13","American Dipper"
"beta.woody_wetland_sq",-5.7,8.9,-5.3,"-24 - 11","American Dipper"
"beta.010",-1.5,0.028,-1.5,"-1.5 - -1.4","American Goldfinch"
"beta.aspect10",-3.9,5.7,-4,"-15 - 7.5","American Goldfinch"
"beta.aspect_sq10",5.1,5,5.5,"-6.7 - 14","American Goldfinch"
"beta.barren_land10",-5.9,5.3,-5.8,"-17 - 3.9","American Goldfinch"
"beta.barren_land_sq10",-4,6,-3.2,"-18 - 5.8","American Goldfinch"
"beta.cultivated_crop10",16,4.2,16,"7.3 - 24","American Goldfinch"
"beta.cultivated_crop_sq10",-6,2.8,-6,"-12 - -0.55","American Goldfinch"
"beta.deciduous_forest10",12,4.6,12,"2.6 - 20","American Goldfinch"
"beta.deciduous_forest_sq10",-3.1,3.7,-3.1,"-11 - 3.9","American Goldfinch"
"beta.developed_high_intensity10",-12,4.2,-12,"-20 - -3.5","American Goldfinch"
"beta.developed_high_intensity_sq10",-5,6,-4,"-18 - 4.5","American Goldfinch"
"beta.developed_low_intensity10",27,4.5,27,"18 - 36","American Goldfinch"
"beta.developed_low_intensity_sq10",-7.2,2.7,-7.2,"-13 - -1.9","American Goldfinch"
"beta.effort_hours10",0.44,0.021,0.44,"0.4 - 0.49","American Goldfinch"
"beta.elevation10",-24,5.5,-24,"-35 - -13","American Goldfinch"
"beta.elevation_sq10",-2.7,4.4,-2.7,"-11 - 5.9","American Goldfinch"
"beta.emergent_wetland10",-1.2,3.3,-1.1,"-7.9 - 5.3","American Goldfinch"
"beta.emergent_wetland_sq10",-11,4.1,-10,"-19 - -2.6","American Goldfinch"
"beta.evergreen_forest10",-29,5.3,-29,"-39 - -19","American Goldfinch"
"beta.evergreen_forest_sq10",-19,4.5,-19,"-28 - -10","American Goldfinch"
"beta.grassland_herbaceous10",2,4.3,2.1,"-6.5 - 10","American Goldfinch"
"beta.grassland_herbaceous_sq10",-1.5,4,-1.4,"-9.5 - 6.1","American Goldfinch"
"beta.lakes10",-4.1,5,-4.5,"-13 - 6","American Goldfinch"
"beta.lakes_sq10",-5,4,-5,"-13 - 2.7","American Goldfinch"
"beta.max_temperature10",-24,4.8,-24,"-34 - -15","American Goldfinch"
"beta.max_temperature_sq10",-45,5.1,-45,"-54 - -34","American Goldfinch"
"beta.mixed_forest10",10,3.9,10,"2.5 - 18","American Goldfinch"
"beta.mixed_forest_sq10",0.62,3,0.64,"-5.5 - 6.4","American Goldfinch"
"beta.number_observers10",-0.0086,0.028,-0.0087,"-0.063 - 0.045","American Goldfinch"
"beta.ocean10",-8.7,4.7,-8.7,"-18 - 0.37","American Goldfinch"
"beta.ocean_sq10",-9.7,4.7,-9.7,"-19 - -0.17","American Goldfinch"
"beta.pasture_hay10",22,3,22,"16 - 28","American Goldfinch"
"beta.pasture_hay_sq10",-11,2.6,-11,"-16 - -5.7","American Goldfinch"
"beta.precipitation10",14,5.3,14,"4.1 - 25","American Goldfinch"
"beta.precipitation_sq10",-29,3.7,-29,"-36 - -22","American Goldfinch"
"beta.rivers10",-3.3,2.9,-3.2,"-8.9 - 2.4","American Goldfinch"
"beta.rivers_sq10",-4.4,2.9,-4.4,"-10 - 1.4","American Goldfinch"
"beta.shrub_scrub10",-24,6.4,-24,"-37 - -12","American Goldfinch"
"beta.shrub_scrub_sq10",-4.2,5.3,-4.1,"-15 - 6","American Goldfinch"
"beta.slope10",5.7,4.8,5.7,"-3.5 - 15","American Goldfinch"
"beta.slope_sq10",-9.5,5.2,-10,"-19 - 2.3","American Goldfinch"
"beta.time_of_day10",0.059,0.022,0.059,"0.016 - 0.1","American Goldfinch"
"beta.woody_wetland10",-5.2,4.2,-5,"-14 - 2.4","American Goldfinch"
"beta.woody_wetland_sq10",-6.6,4.7,-6.8,"-15 - 2.4","American Goldfinch"
"beta.0",-4.4,0.081,-4.4,"-4.6 - -4.2","American Kestrel"
"beta.aspect",3.7,7.9,3.8,"-12 - 19","American Kestrel"
"beta.aspect_sq",4.6,9.7,5,"-15 - 22","American Kestrel"
"beta.barren_land",0.78,5.4,1,"-10 - 11","American Kestrel"
"beta.barren_land_sq",-0.41,5.7,-0.11,"-12 - 10","American Kestrel"
"beta.cultivated_crop",6.8,12,7.9,"-15 - 27","American Kestrel"
"beta.cultivated_crop_sq",-12,7.4,-12,"-26 - 3.1","American Kestrel"
"beta.deciduous_forest",-17,10,-17,"-35 - 4","American Kestrel"
"beta.deciduous_forest_sq",5.8,8,6,"-10 - 21","American Kestrel"
"beta.developed_high_intensity",4.6,7.5,4.8,"-10 - 19","American Kestrel"
"beta.developed_high_intensity_sq",3.4,8.1,3.7,"-13 - 19","American Kestrel"
"beta.developed_low_intensity",-10,9.4,-10,"-28 - 7.7","American Kestrel"
"beta.developed_low_intensity_sq",-0.59,7,-0.54,"-15 - 13","American Kestrel"
"beta.effort_hours",0.27,0.049,0.27,"0.17 - 0.37","American Kestrel"
"beta.elevation",10,7.6,10,"-4.6 - 25","American Kestrel"
"beta.elevation_sq",-3,6.4,-2.9,"-16 - 9.5","American Kestrel"
"beta.emergent_wetland",5.7,7.4,5.9,"-9.5 - 19","American Kestrel"
"beta.emergent_wetland_sq",-7.8,6.9,-7.4,"-23 - 4.5","American Kestrel"
"beta.evergreen_forest",-12,9.2,-13,"-30 - 6.5","American Kestrel"
"beta.evergreen_forest_sq",-3.8,8.3,-4.2,"-19 - 13","American Kestrel"
"beta.grassland_herbaceous",20,6.2,20,"8.2 - 32","American Kestrel"
"beta.grassland_herbaceous_sq",-11,5.9,-11,"-22 - 1.2","American Kestrel"
"beta.lakes",-7.7,7.5,-7.7,"-22 - 6.7","American Kestrel"
"beta.lakes_sq",2,7.3,2.2,"-13 - 16","American Kestrel"
"beta.max_temperature",4.9,7.3,5,"-9.6 - 19","American Kestrel"
"beta.max_temperature_sq",-4.4,6.4,-4.3,"-17 - 7.6","American Kestrel"
"beta.mixed_forest",-15,8.3,-15,"-31 - 2.3","American Kestrel"
"beta.mixed_forest_sq",8.4,7.8,8.6,"-7.2 - 23","American Kestrel"
"beta.number_observers",0.064,0.064,0.066,"-0.07 - 0.18","American Kestrel"
"beta.ocean",-1,7.4,-0.75,"-17 - 13","American Kestrel"
"beta.ocean_sq",5.2,9.1,7.3,"-16 - 18","American Kestrel"
"beta.pasture_hay",24,6.4,24,"11 - 36","American Kestrel"
"beta.pasture_hay_sq",4.2,5.4,4.4,"-6.8 - 15","American Kestrel"
"beta.precipitation",-12,7.2,-12,"-26 - 2.6","American Kestrel"
"beta.precipitation_sq",16,6.2,16,"3.3 - 28","American Kestrel"
"beta.rivers",-3.2,7.1,-3,"-18 - 10","American Kestrel"
"beta.rivers_sq",-3.9,7,-3.7,"-18 - 9","American Kestrel"
"beta.shrub_scrub",21,7.3,21,"5.6 - 34","American Kestrel"
"beta.shrub_scrub_sq",-10,6.1,-10,"-22 - 1.2","American Kestrel"
"beta.slope",-3.5,8.7,-3.7,"-20 - 14","American Kestrel"
"beta.slope_sq",-4.3,6.7,-4.1,"-18 - 8","American Kestrel"
"beta.time_of_day",0.074,0.068,0.073,"-0.057 - 0.21","American Kestrel"
"beta.woody_wetland",-4.2,8.2,-4.1,"-20 - 11","American Kestrel"
"beta.woody_wetland_sq",-7.6,7.8,-7.4,"-23 - 7.1","American Kestrel"
"beta.0",-3,0.061,-3,"-3.1 - -2.9","American Redstart"
"beta.aspect",-2.5,5.9,-2.6,"-14 - 9.3","American Redstart"
"beta.aspect_sq",1.5,5.8,1.2,"-8.9 - 13","American Redstart"
"beta.barren_land",-5.6,6,-5.2,"-18 - 5.3","American Redstart"
"beta.barren_land_sq",-0.62,5.1,-0.36,"-11 - 8.7","American Redstart"
"beta.cultivated_crop",-17,6,-17,"-29 - -5.3","American Redstart"
"beta.cultivated_crop_sq",-18,5.8,-18,"-29 - -5.5","American Redstart"
"beta.deciduous_forest",40,4.9,40,"30 - 49","American Redstart"
"beta.deciduous_forest_sq",3.6,3.5,3.6,"-3.2 - 10","American Redstart"
"beta.developed_high_intensity",-21,6.5,-21,"-34 - -8.3","American Redstart"
"beta.developed_high_intensity_sq",16,5.6,17,"4.9 - 27","American Redstart"
"beta.developed_low_intensity",-38,6.8,-38,"-52 - -25","American Redstart"
"beta.developed_low_intensity_sq",14,5.7,14,"2.4 - 25","American Redstart"
"beta.effort_hours",0.063,0.04,0.064,"-0.016 - 0.14","American Redstart"
"beta.elevation",-7.9,7,-7.9,"-22 - 5.8","American Redstart"
"beta.elevation_sq",-5.4,5.9,-5.2,"-17 - 5.5","American Redstart"
"beta.emergent_wetland",13,4.2,13,"4 - 21","American Redstart"
"beta.emergent_wetland_sq",-4.1,3.7,-4,"-12 - 2.9","American Redstart"
"beta.evergreen_forest",-0.069,6.2,0.13,"-12 - 12","American Redstart"
"beta.evergreen_forest_sq",4,5.1,4.1,"-6.3 - 14","American Redstart"
"beta.grassland_herbaceous",-6.7,6,-6.7,"-19 - 4.9","American Redstart"
"beta.grassland_herbaceous_sq",9.7,5.5,10,"-2.5 - 19","American Redstart"
"beta.lakes",11,5.1,11,"1 - 21","American Redstart"
"beta.lakes_sq",1.5,4.2,1.7,"-6.8 - 9.5","American Redstart"
"beta.max_temperature",-42,5.9,-42,"-53 - -30","American Redstart"
"beta.max_temperature_sq",5.8,5.5,5.9,"-5.3 - 16","American Redstart"
"beta.mixed_forest",8.8,5.2,8.8,"-1.3 - 19","American Redstart"
"beta.mixed_forest_sq",9,3.8,9,"1.5 - 16","American Redstart"
"beta.number_observers",-0.077,0.064,-0.074,"-0.21 - 0.039","American Redstart"
"beta.ocean",-13,6.9,-13,"-27 - 0.12","American Redstart"
"beta.ocean_sq",0.84,6,1.3,"-12 - 11","American Redstart"
"beta.pasture_hay",-12,5.6,-12,"-23 - -0.96","American Redstart"
"beta.pasture_hay_sq",-6.5,6.9,-6.2,"-20 - 6.1","American Redstart"
"beta.precipitation",-3.4,6.1,-3.4,"-15 - 8.5","American Redstart"
"beta.precipitation_sq",-20,6.8,-20,"-33 - -6.8","American Redstart"
"beta.rivers",9.1,4.2,9.3,"0.29 - 17","American Redstart"
"beta.rivers_sq",-14,5.4,-14,"-24 - -2.6","American Redstart"
"beta.shrub_scrub",7,7.5,7.5,"-9 - 20","American Redstart"
"beta.shrub_scrub_sq",-3.1,6.8,-3.4,"-16 - 11","American Redstart"
"beta.slope",-4.4,8.3,-5.4,"-19 - 14","American Redstart"
"beta.slope_sq",-11,5.4,-11,"-22 - -0.53","American Redstart"
"beta.time_of_day",-0.032,0.04,-0.031,"-0.11 - 0.047","American Redstart"
"beta.woody_wetland",11,4.1,11,"2.8 - 19","American Redstart"
"beta.woody_wetland_sq",-9.8,4.8,-10,"-19 - -0.094","American Redstart"
"beta.0",-0.52,0.019,-0.52,"-0.55 - -0.48","American Robin"
"beta.aspect",15,5.4,15,"4 - 25","American Robin"
"beta.aspect_sq",4.1,2.9,4.1,"-1.4 - 9.9","American Robin"
"beta.barren_land",-8.6,3.9,-8.7,"-16 - 0.86","American Robin"
"beta.barren_land_sq",1.1,3.9,1.3,"-6.6 - 7.9","American Robin"
"beta.cultivated_crop",20,3.7,20,"14 - 28","American Robin"
"beta.cultivated_crop_sq",-5.4,2.5,-5.4,"-10 - -0.52","American Robin"
"beta.deciduous_forest",-3,3.9,-3.1,"-10 - 5","American Robin"
"beta.deciduous_forest_sq",-12,2.6,-12,"-17 - -7.1","American Robin"
"beta.developed_high_intensity",-15,2.5,-15,"-19 - -9.8","American Robin"
"beta.developed_high_intensity_sq",1.2,2.3,1.2,"-3.3 - 5.7","American Robin"
"beta.developed_low_intensity",31,3.6,31,"24 - 38","American Robin"
"beta.developed_low_intensity_sq",-13,2.4,-13,"-17 - -8.1","American Robin"
"beta.effort_hours",0.31,0.02,0.31,"0.27 - 0.35","American Robin"
"beta.elevation",12,4.5,12,"3 - 21","American Robin"
"beta.elevation_sq",-0.09,3,-0.1,"-5.9 - 5.8","American Robin"
"beta.emergent_wetland",-14,2.9,-14,"-20 - -8.2","American Robin"
"beta.emergent_wetland_sq",0.53,3.4,0.6,"-6.4 - 6.9","American Robin"
"beta.evergreen_forest",-23,3.9,-23,"-31 - -15","American Robin"
"beta.evergreen_forest_sq",7,2.8,7,"1.6 - 13","American Robin"
"beta.grassland_herbaceous",-22,3.3,-22,"-28 - -15","American Robin"
"beta.grassland_herbaceous_sq",-6.6,2.8,-6.6,"-12 - -1.2","American Robin"
"beta.lakes",4.2,4.5,4.9,"-5.8 - 12","American Robin"
"beta.lakes_sq",-1.4,2.7,-1.4,"-6.6 - 3.9","American Robin"
"beta.max_temperature",-76,3.6,-76,"-83 - -69","American Robin"
"beta.max_temperature_sq",-25,3.1,-25,"-31 - -19","American Robin"
"beta.mixed_forest",-22,4.2,-22,"-30 - -14","American Robin"
"beta.mixed_forest_sq",-0.22,2.9,-0.26,"-5.9 - 5.4","American Robin"
"beta.number_observers",-0.013,0.024,-0.013,"-0.061 - 0.034","American Robin"
"beta.ocean",-1.5,4.3,-1.3,"-10 - 6.4","American Robin"
"beta.ocean_sq",-5,3.8,-4.8,"-13 - 2.1","American Robin"
"beta.pasture_hay",10,2.2,10,"5.9 - 15","American Robin"
"beta.pasture_hay_sq",-6,2.1,-6,"-10 - -1.9","American Robin"
"beta.precipitation",20,4.1,20,"12 - 28","American Robin"
"beta.precipitation_sq",-35,3.7,-35,"-42 - -28","American Robin"
"beta.rivers",4.3,2.9,4.4,"-1.7 - 9.7","American Robin"
"beta.rivers_sq",-8.4,4.5,-8.4,"-18 - 0.24","American Robin"
"beta.shrub_scrub",-24,4.2,-24,"-32 - -16","American Robin"
"beta.shrub_scrub_sq",-6,3.6,-6,"-13 - 0.97","American Robin"
"beta.slope",14,4.4,14,"4.3 - 21","American Robin"
"beta.slope_sq",-5.4,3.4,-5.5,"-12 - 1.8","American Robin"
"beta.time_of_day",-0.088,0.018,-0.088,"-0.12 - -0.052","American Robin"
"beta.woody_wetland",1.1,2.8,1.1,"-4.3 - 6.5","American Robin"
"beta.woody_wetland_sq",-1.9,3.5,-2,"-8.4 - 4.9","American Robin"
"beta.0",-4.1,0.13,-4.1,"-4.4 - -3.9","American White Pelican"
"beta.aspect",-5.9,11,-7.2,"-25 - 16","American White Pelican"
"beta.aspect_sq",-0.31,9.9,-1.5,"-17 - 17","American White Pelican"
"beta.barren_land",-7.8,6.5,-7.4,"-22 - 3.7","American White Pelican"
"beta.barren_land_sq",-1.2,6.2,-0.99,"-14 - 11","American White Pelican"
"beta.cultivated_crop",22,6.8,22,"8.2 - 35","American White Pelican"
"beta.cultivated_crop_sq",1.2,5.5,1.4,"-10 - 12","American White Pelican"
"beta.deciduous_forest",-15,7.9,-15,"-30 - 0.32","American White Pelican"
"beta.deciduous_forest_sq",4.1,7.5,4.3,"-11 - 18","American White Pelican"
"beta.developed_high_intensity",-4.8,7.6,-4.6,"-20 - 9.3","American White Pelican"
"beta.developed_high_intensity_sq",-3.5,8.3,-2.9,"-20 - 11","American White Pelican"
"beta.developed_low_intensity",-6.7,7.6,-6.6,"-21 - 8.1","American White Pelican"
"beta.developed_low_intensity_sq",3,6.1,3.2,"-9.5 - 14","American White Pelican"
"beta.effort_hours",0.24,0.073,0.24,"0.095 - 0.38","American White Pelican"
"beta.elevation",12,6.9,12,"-1.6 - 26","American White Pelican"
"beta.elevation_sq",1.5,5.8,1.4,"-10 - 13","American White Pelican"
"beta.emergent_wetland",20,4.9,20,"9.2 - 29","American White Pelican"
"beta.emergent_wetland_sq",-18,5.4,-18,"-30 - -8.4","American White Pelican"
"beta.evergreen_forest",-10,6.7,-10,"-23 - 2.9","American White Pelican"
"beta.evergreen_forest_sq",6.3,6.3,6.6,"-6.6 - 18","American White Pelican"
"beta.grassland_herbaceous",6.9,6.1,7,"-5.2 - 19","American White Pelican"
"beta.grassland_herbaceous_sq",-2.6,5.4,-2.5,"-13 - 7.7","American White Pelican"
"beta.lakes",29,6.2,30,"15 - 40","American White Pelican"
"beta.lakes_sq",-17,4.1,-17,"-24 - -8.3","American White Pelican"
"beta.max_temperature",-11,6.5,-11,"-24 - 1.6","American White Pelican"
"beta.max_temperature_sq",-12,6.7,-12,"-26 - 0.72","American White Pelican"
"beta.mixed_forest",-11,7.7,-11,"-28 - 2.8","American White Pelican"
"beta.mixed_forest_sq",4.3,7.4,4.3,"-10 - 19","American White Pelican"
"beta.number_observers",0.044,0.083,0.048,"-0.13 - 0.2","American White Pelican"
"beta.ocean",-6.5,9.5,-7.1,"-24 - 13","American White Pelican"
"beta.ocean_sq",-1.8,7.3,-1.6,"-16 - 12","American White Pelican"
"beta.pasture_hay",-2.6,7.3,-2.5,"-17 - 11","American White Pelican"
"beta.pasture_hay_sq",-8.2,7,-8.1,"-22 - 5.1","American White Pelican"
"beta.precipitation",-10,7.2,-10,"-24 - 3.9","American White Pelican"
"beta.precipitation_sq",1.8,7.1,1.9,"-13 - 15","American White Pelican"
"beta.rivers",13,3.9,13,"5.1 - 20","American White Pelican"
"beta.rivers_sq",2.6,4.4,2.5,"-5.6 - 12","American White Pelican"
"beta.shrub_scrub",-1.1,6.9,-1.1,"-15 - 12","American White Pelican"
"beta.shrub_scrub_sq",-8.3,6.6,-8.2,"-22 - 4.1","American White Pelican"
"beta.slope",-17,8.6,-18,"-32 - 2.7","American White Pelican"
"beta.slope_sq",2.7,8.2,4,"-16 - 16","American White Pelican"
"beta.time_of_day",0.13,0.088,0.13,"-0.043 - 0.3","American White Pelican"
"beta.woody_wetland",-8.5,6.8,-8.5,"-22 - 4.5","American White Pelican"
"beta.woody_wetland_sq",9.6,5.6,10,"-2.3 - 19","American White Pelican"
"beta.0",-5.2,0.28,-5.2,"-5.8 - -4.7","American Wigeon"
"beta.aspect",6.4,8.9,6.4,"-11 - 24","American Wigeon"
"beta.aspect_sq",-2.6,8.1,-2.4,"-19 - 13","American Wigeon"
"beta.barren_land",-3.8,7.4,-3.4,"-19 - 9.5","American Wigeon"
"beta.barren_land_sq",-3.2,7.4,-2.9,"-18 - 11","American Wigeon"
"beta.cultivated_crop",6.9,7.9,6.9,"-8.8 - 22","American Wigeon"
"beta.cultivated_crop_sq",-10,7.5,-10,"-25 - 4.3","American Wigeon"
"beta.deciduous_forest",-6.4,8.5,-6.2,"-23 - 9.7","American Wigeon"
"beta.deciduous_forest_sq",0.75,8,0.91,"-15 - 16","American Wigeon"
"beta.developed_high_intensity",-3.2,8.7,-3,"-21 - 13","American Wigeon"
"beta.developed_high_intensity_sq",-0.012,8.2,0.29,"-17 - 15","American Wigeon"
"beta.developed_low_intensity",-8.5,8.4,-8.4,"-25 - 7.8","American Wigeon"
"beta.developed_low_intensity_sq",1.1,7.6,1.2,"-14 - 15","American Wigeon"
"beta.effort_hours",-0.046,0.27,-0.021,"-0.64 - 0.4","American Wigeon"
